CountyName,yw,weeklyCasesSum,weeklyCases,PopulationCensus16
Carlow,2022-03-20,35743.39312061506,150.05369814607548,56932
Carlow,2022-03-27,36780.46993405669,-316.16665495670895,56932
Carlow,2022-04-03,37383.444911724284,-389.4370226135143,56932
Carlow,2022-04-10,37788.4393411689,236.12128755105368,56932
Carlow,2022-04-17,38068.221738214015,72.76851582347444,56932
Carlow,2022-04-24,38303.339322098545,80.54721923892066,56932
Carlow,2022-05-01,38476.4782045749,-17.313888247590512,56932
Carlow,2022-05-08,38619.756902971974,32.11851732889045,56932
Carlow,2022-05-15,38737.943009705814,4.76759241605032,56932
Carlow,2022-05-22,38812.969858778895,-18.06666599752498,56932
Carlow,2022-05-29,38889.7531892684,44.91573907717975,56932
Carlow,2022-06-05,39017.976332667546,49.683331493222795,56932
Carlow,2022-06-12,39199.89762222602,2.2583332496797084,56932
Carlow,2022-06-19,39480.432797021,44.91573907718703,56932
Carlow,2022-06-26,39669.881864078445,-189.69999297404866,56932
Carlow,2022-07-03,39985.04481536872,216.79999197036523,56932
Carlow,2022-07-10,40328.81332115506,-97.1083297367586,56932
Carlow,2022-07-17,40546.11516495869,-155.07221647878032,56932
Carlow,2022-07-24,40664.55219760917,27.601850829560135,56932
Carlow,2022-07-31,40736.066083849415,51.941664742917055,56932
Carlow,2022-08-07,40823.38830283747,62.73147915804293,56932
Carlow,2022-08-14,40886.87255974548,-39.64629482784949,56932
Carlow,2022-08-21,40940.82163182144,14.302777247983613,56932
Carlow,2022-08-28,41000.79292589656,15.55740683121985,56932
Carlow,2022-09-04,41034.66792464193,-32.118517328912276,56932
Carlow,2022-09-11,41099.406811133085,56.96018307553459,56932
Carlow,2022-09-18,41153.35588320904,-41.65370216098381,56932
Carlow,2022-09-25,41220.60402886652,24.08888799671695,56932
Carlow,2022-10-02,41291.11421144021,-10.037036665300548,56932
Carlow,2022-10-09,41371.410504762585,6.524073832464637,56932
Carlow,2022-10-16,41448.94661300197,-12.54629583167116,56932
Carlow,2022-10-23,41530.74846182414,7.025925665773684,56932
Carlow,2022-10-30,41585.450311649984,-31.365739579116052,56932
Carlow,2022-11-06,41652.196605474186,39.144442994693236,56932
Carlow,2022-11-13,41711.41512179943,-19.572221497321152,56932
Carlow,2022-11-20,41749.806787044174,-13.299073581540142,56932
Carlow,2022-11-27,41798.235488954255,30.86388774583611,56932
Carlow,2022-12-04,41848.92252411397,-7.778703415700875,56932
Carlow,2022-12-11,41913.66141060513,11.793518081802176,56932
Carlow,2022-12-18,42011.0206662585,18.568517830775818,56932
Carlow,2022-12-25,42110.63825516153,-30.36203591254889,56932
Carlow,2023-01-01,42211.51047364776,-1.0037036664725747,56932
Carlow,2023-01-08,42288.29380413727,-25.34351757990953,56932
Carlow,2023-01-15,42325.179913882246,-15.808332747816166,56932
Carlow,2023-01-22,42337.34982083891,15.181017956216238,56932
Cavan,2020-03-01,0,0,76176
Cavan,2020-03-08,0,0,76176
Cavan,2020-03-15,3.3756413718606555,3.3756413718606555,76176
Cavan,2020-03-22,14.815314909832868,4.6883907942509,76176
Cavan,2020-03-29,76.3270021304048,42.00798151648816,76176
Cavan,2020-04-05,218.8540822756323,30.943379242055855,76176
